Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad,model,chosen_response
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,61|60|59|63|4|1|58|57|62|64|6|5|3|8|2|7,-0.27256640791893005,-2.131941318511963,-0.27256640791893005,-2.131941318511963,Llama-2-70b-hf,good
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,63|5|64|58|60|59|3|7|57|4|8|6|61|2|1|62,-0.53440093994140625,-2.0187759399414062,-0.53440093994140625,-2.0187759399414062,Llama-2-70b-hf,good
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,62|1|60|3|59|6|63|2|4|64|61|57|7|5|58|8,-2.5401854515075684,-0.2901855707168579,-2.5401854515075684,-0.2901855707168579,Llama-2-70b-hf,bad
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,4|3|5|1|60|58|6|2|61|63|7|8|57|59|64|62,-0.4818132817745209,-2.1693131923675537,-0.4818132817745209,-2.1693131923675537,Llama-2-70b-hf,good
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,59|1|57|8|63|6|60|62|64|7|4|2|61|5|58|3,-2.639477014541626,-0.15510208904743197,-2.639477014541626,-0.15510208904743197,Llama-2-70b-hf,bad
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,4|3|64|2|8|5|58|6|7|1|60|57|61|59|62|63,-0.6955572962760925,-1.4455573558807373,-0.6955572962760925,-1.4455573558807373,Llama-2-70b-hf,good
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,4|61|64|1|59|6|3|60|58|63|8|57|62|7|2|5,-0.5611281394958496,-1.4361281394958496,-0.5611281394958496,-1.4361281394958496,Llama-2-70b-hf,good
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,7|8|62|1|2|60|59|6|64|3|5|61|58|4|63|57,-1.2029902935028076,-0.6248653531074524,-1.2029902935028076,-0.6248653531074524,Llama-2-70b-hf,bad
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,63|5|4|8|1|64|7|62|6|2|60|61|59|3|58|57,-0.8346753716468811,-1.1315503120422363,-0.8346753716468811,-1.1315503120422363,Llama-2-70b-hf,good
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,60|3|57|64|61|4|62|2|1|5|7|58|59|8|6|63,-1.5311768054962158,-0.5311768054962158,-1.5311768054962158,-0.5311768054962158,Llama-2-70b-hf,bad
